FirmaID,52757,88109,64670,3350,120333,105628,118605,117567,61375,24349,73320,107321,113309,3347,92879,93712,40640,119476,118047,3190
6567,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0
5871,0,12,0,0,0,14,0,1,1,0,0,0,1,0,0,0,0,0,0,0
4775,0,0,7,4,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,72
8179,10,0,0,0,0,0,0,0,0,24,0,2,1,0,0,0,0,0,0,0
974,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0
713,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
3797,23,0,0,0,0,0,0,0,0,0,0,1,2,0,0,37,0,1,0,0
5096,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5815,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2027,0,11,1,0,0,0,0,1,0,4,0,0,0,0,0,0,0,0,0,19
897,14,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
872,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,1,0,0,0
9975,8,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0
3008,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2537,0,0,5,0,0,0,0,0,0,20,0,0,0,0,1,0,0,0,0,0
2842,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,1,0
6885,0,1,0,3,0,0,0,0,81,0,0,0,0,0,0,0,0,0,0,0
5336,0,0,0,0,0,0,0,0,102,0,0,0,0,0,0,0,0,0,0,0
6372,0,3,0,0,0,0,0,0,0,3,0,0,0,6,2,0,0,0,0,1
9206,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
