FirmaID,52757,88109,64670,3350,120333,105628,118605,117567,61375,24349,73320,107321,113309,3347,92879,93712,40640,119476,118047,3190,17226,54690,78845,60249,122524,122806,84355,135310,121352,45337
6567,0,0,0,0,0,0,0,0,9800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5871,0,24700,0,0,0,24590,0,4260,1600,0,0,0,2170,0,0,0,0,0,0,0,0,0,2850,0,0,0,0,0,0,0
4775,0,0,17450,3400,0,0,0,6250,0,0,0,0,0,0,0,0,0,0,0,370150,0,61300,0,0,0,0,0,0,0,0
8179,13900,0,0,0,0,0,0,0,0,26850,0,2000,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,10550,0,0,0
974,0,1100,4500,0,0,0,0,0,0,0,0,0,0,0,0,3645,0,2907,0,0,0,0,0,0,0,0,0,0,2560,0
713,0,0,0,0,0,0,0,0,0,0,0,1375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3797,28500,0,0,0,0,0,0,0,0,0,0,1000,1200,0,0,18500,0,500,0,0,0,0,1200,0,0,0,0,0,0,0
5096,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5815,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4000,0,0,0,0,0
2027,0,23570,500,0,0,0,0,1200,0,4900,0,0,0,0,0,0,0,0,0,17465,0,0,0,0,0,0,0,0,0,0
897,100903,0,0,0,55000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44920
872,0,0,0,0,0,0,5950,0,1200,0,0,0,0,0,0,0,1300,0,0,0,0,0,0,0,0,0,0,0,0,0
9975,5500,0,0,0,0,1500,600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3008,0,0,0,16000,0,0,1900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4290,0,0,0,0,0,0,0,0
2537,0,0,4800,0,0,0,0,0,0,75425,0,0,0,0,500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2842,4000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19550,0,0,1000,0,0,0,0,0,0,0,0,0,0,0
6885,0,1600,0,6000,0,0,0,0,443279,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5336,0,0,0,0,0,0,0,0,112750,0,0,0,0,0,0,0,0,0,0,0,0,0,4100,0,0,0,0,0,0,0
6372,0,7450,0,0,0,0,0,0,0,5500,0,0,0,6100,2500,0,0,0,0,1000,0,0,0,0,0,0,0,0,0,0
9206,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,550,0,0,0,0,0
